Book Name,Publisher,Author,Discounted Price,Discount Percentage,New Price
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,"289,00",35,"187,85"
Acıların Hükümdarı,İndigo Kitap,Adora Yağmur,"299,00",40,"179,40"
Ötanazi Okulu Kutulu Set,Ephesus Yayınları,Maral Atmaca,"1.156,00",35,"751,40"
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,"289,00",35,"187,85"
On Üç’ü Bağlamak,Martı Yayınları,Chloe Walsh,"395,00",50,"197,50"
Bilinmeyen Bir Kadının Mektubu,İş Bankası Kültür Yayınları,Stefan Zweig,"24,00",40,"14,40"
Sakar,Metis Yayınları,Alexandre Seurat,"114,00",18,"93,48"
Bazı İnsanlar Böyle Yaşar 2,İndigo Kitap,Filiz Puluç,"299,00",40,"179,40"
Elementler Akademisi 1 - Gökyüzünün Derinliği,Yakamoz Yayınevi,Daphne Unruh,"90,00",43,"51,30"
Elementler Akademisi 2 - Gölgelerin Melodisi,Yakamoz Yayınevi,Daphne Unruh,"90,00",70,"27,00"
Varislerin Oyunu,İndigo Kitap,Adora Yağmur,"289,00",40,"173,40"
Elementler Akademisi-3 Nilüferlerin Gecesi,Yakamoz Yayınevi,Daphne Unruh,"90,00",70,"27,00"
Dokuzuncu Hariciye Koğuşu,Ötüken Neşriyat,Peyami Safa,"90,00",40,"54,00"
Fatih Harbiye,Ötüken Neşriyat,Peyami Safa,"90,00",40,"54,00"
Bronz 2 Kutulu,Ren Kitap,Özge Naz,"295,00",50,"147,50"
Gökçen 2: Geride Kalanlar Ciltli Özel Baskı,Ephesus Yayınları,Loresima,"309,00",35,"200,85"
Dördüncü Kanat,Olimpos Yayınları,Rebecca Yarros,"650,00",50,"325,00"
Sapkın Kral İmzalı,Ren Kitap,Rina Kent,"250,00",50,"125,00"
Eğer Benimle Olsaydı,Juno Kitap,Laura Nowlin,"220,00",50,"110,00"
Gökçen 1: Unutulan Çiçekler,Ephesus Yayınları,Loresima,"259,00",35,"168,35"
Gökçen 2: Geride Kalanlar,Ephesus Yayınları,Loresima,"259,00",35,"168,35"
Acıların Hükümdarı,İndigo Kitap,Adora Yağmur,"259,00",40,"155,40"
Nasıl Ölünür,İş Bankası Kültür Yayınları,Emile Zola,"26,00",40,"15,60"
Ölüm Portresi,İndigo Kitap,Büşra Nur,"289,00",40,"173,40"
İkimizin Yıkımı,Martı Yayınları,Brittainy Cherry,"295,00",50,"147,50"
3391 Kilometre Film Özel Baskı,İndigo Kitap,Beyza Alkoç,"220,00",40,"132,00"
Söyleme Bilmesinler,Doğan Kitap,Şermin Yaşar,"159,00",30,"111,30"
Kabil’in Çene Kemiği,Olimpos Yayınları,Tomas de Torquemada,"220,00",50,"110,00"
Hizmetçi,Olimpos Yayınları,Freida Mcfadden,"260,00",50,"130,00"
